BuildID,GPU_Tier,Motherboard_Chipset,GPU_Brand,Motherboard_Model,CPU_Brand,Motherboard_Brand,GPU_Model,CPU_Model,Component_Price_CPU,Component_Price_Motherboard,Component_Price_GPU,Assembly_Fee,Build_Notes,CPU_Tier,Motherboard_Tier,Total_Price,Detailed_Purpose,Target_User,GPU_Quantity,CPU_Socket,Motherboard_Socket,Price_Confidence,Availability_Status,CPU_Segment,GPU_Segment,GPU_Class,GPU_VRAM_GB,Purpose_Code,Purpose_Category,Purpose_Level,Primary_Workload,Recommended_Resolution,Recommended_RAM_GB,Recommended_Storage,Recommended_PSU_W,AI_Model_Class,ISV_Certification_Need,Compatibility_Status,Balance_Status,Fact_Check_Status,Fact_Check_Notes,RAG_Keywords,Source_CPU_URL,Source_GPU_URL,Source_Motherboard_URL
BUILD-03990,Cận cao cấp,Z790,AMD,MSI Z790 MPG EDGE MONSTER HUNTER EDITION DDR5 ATX,Intel,MSI,AMD Radeon RX 7800 XT,Intel Core i7-13700K,9099000,6306466,14399000,200000,"Nhu cầu cao cấp: Chơi game AAA ở 4K/2K, Dựng phim 4K mượt mà, Đồ họa kỹ thuật phức tạp (AutoCAD, Blender, Maya), Phát trực tiếp game. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Chưa xác định | Kiểm tra: Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.",Hiệu năng cao,Z790 / LGA1700,30004466,"Chơi game – AAA 1440p mức cao. Phù hợp: Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao. Giới hạn: Dò tia mức tối đa có thể cần công nghệ nâng độ phân giải hoặc tạo khung hình. Khuyến nghị RAM 32GB, lưu trữ 1-2TB NVMe và bộ nguồn 700-850W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1440p mức cao,1,LGA1700,LGA1700,Chưa xác định,Chưa xác định,Hiệu năng cao,Cận cao cấp,Chơi game / sáng tạo nội dung,16,GAME-05,Chơi game,AAA 1440p mức cao,"Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao","1440p, khoảng 80-165 khung hình/giây",32,1-2TB NVMe,700-850,Không,Không cần,Tương thích,Tương đối cân bằng,CẦN KIỂM TRA,"Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.","GAME-05; Chơi game; AAA 1440p mức cao; Intel Core i7-13700K; AMD Radeon RX 7800 XT; Z790; LGA1700; LGA1700; Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-intel-core-i7-13700k-hang-nk,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7800-xt.html,
BUILD-12918,Cận cao cấp,B760,NVIDIA,ASUS B760M-AYW WIFI D4,Intel,ASUS,NVIDIA GeForce RTX 4070,Intel Core i5-13600K,7299000,2849000,18999000,200000,"Nhu cầu cận cao cấp: Chiến game AAA cực mượt ở 2K, Làm đồ họa 2D/3D bán chuyên nghiệp, Biên tập video 2K/4K. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Chỉ nhận đặt hàng | Kiểm tra: Không phát hiện vấn đề rõ ràng khi kiểm tra bằng quy tắc.",Hiệu năng tầm trung,B760 / LGA1700,29347000,"Chơi game – AAA 1440p mức cao. Phù hợp: Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao. Giới hạn: Dò tia mức tối đa có thể cần công nghệ nâng độ phân giải hoặc tạo khung hình. Khuyến nghị RAM 32GB, lưu trữ 1-2TB NVMe và bộ nguồn 700-850W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1440p mức cao,1,LGA1700,LGA1700,Trung bình,Chỉ nhận đặt hàng,Hiệu năng tầm trung,Cận cao cấp,Chơi game / sáng tạo nội dung,12,GAME-05,Chơi game,AAA 1440p mức cao,"Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao","1440p, khoảng 80-165 khung hình/giây",32,1-2TB NVMe,700-850,Không,Không cần,Tương thích,Tương đối cân bằng,ĐẠT,Không phát hiện vấn đề rõ ràng khi kiểm tra bằng quy tắc.,"GAME-05; Chơi game; AAA 1440p mức cao; Intel Core i5-13600K; NVIDIA GeForce RTX 4070; B760; LGA1700; LGA1700; Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-intel-core-i5-13600k-hang-nk,https://hacom.vn/card-man-hinh-gigabyte-rtx-4070-gaming-oc-12gd,https://hacom.vn/mainboard-asus-b760m-ayw-wifi-d4
BUILD-00075,Cao cấp,Z790,NVIDIA,EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,Intel,EVGA,NVIDIA GeForce RTX 4080,Intel Core i5-13600K,7299000,13700000,37399000,300000,"Nhu cầu cao cấp: Chơi game AAA ở 4K/2K, Dựng phim 4K mượt mà, Đồ họa kỹ thuật phức tạp (AutoCAD, Blender, Maya), Phát trực tiếp game. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Chưa xác định | Kiểm tra: Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Hiệu năng tầm trung,Z790 / LGA1700,58698000,"Chơi game – 4K mức cao. Phù hợp: Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa. Giới hạn: Không phải trò chơi nào cũng đạt 120 khung hình/giây ở độ phân giải gốc. Khuyến nghị RAM 32-64GB, lưu trữ 2TB NVMe và bộ nguồn 850-1000W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — 4K mức cao,1,LGA1700,LGA1700,Thấp,Chưa xác định,Hiệu năng tầm trung,Cao cấp,Chơi game / sáng tạo nội dung,16,GAME-07,Chơi game,4K mức cao,"Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa","4K, khoảng 60-120 khung hình/giây tùy trò chơi",32-64,2TB NVMe,850-1000,Không,Không cần,Tương thích,Tương đối cân bằng,CẦN KIỂM TRA,"Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.","GAME-07; Chơi game; 4K mức cao; Intel Core i5-13600K; NVIDIA GeForce RTX 4080; Z790; LGA1700; LGA1700; Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-intel-core-i5-13600k-hang-nk,https://hacom.vn/card-man-hinh-msi-rtx-4080-gaming-x-trio,https://www.evga.com/
BUILD-06265,Tích hợp,Z690,Intel,ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,Intel,ASRock,Intel UHD Graphics 730,Intel Core i3-13100,3099000,4800000,0,200000,"Nhu cầu cơ bản: Làm việc văn phòng (Word, Excel), Học tập trực tuyến, Giải trí lướt web xem phim, Sử dụng đồ họa tích hợp (iGPU) trên CPU. | Cân bằng: Cân bằng cho văn phòng | Tương thích: Tương thích, cần kiểm tra BIOS | Tình trạng hàng: Đời cũ / giá niêm yết gần nhất | Kiểm tra: H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Phổ thông / văn phòng,Z690 / LGA1700,8099000,"Văn phòng – Cơ bản. Phù hợp: Word, Excel cơ bản, duyệt web, thư điện tử, học trực tuyến, POS và phần mềm bán hàng nhẹ. Giới hạn: Không phù hợp với kết xuất, dựng phim nặng hoặc trò chơi AAA. Khuyến nghị RAM 16GB, lưu trữ 500GB NVMe và bộ nguồn 350-450W. Đánh giá cân bằng: Cân bằng cho văn phòng.",Văn phòng — Cơ bản,1,LGA1700,LGA1700,Thấp,Đời cũ / giá niêm yết gần nhất,Phổ thông / văn phòng,Tích hợp,Văn phòng / đa phương tiện,0,OFF-01,Văn phòng,Cơ bản,"Word, Excel cơ bản, duyệt web, thư điện tử, học trực tuyến, POS và phần mềm bán hàng nhẹ",1-2 màn hình 1080p,16,500GB NVMe,350-450,Không,Không cần,"Tương thích, cần kiểm tra BIOS",Cân bằng cho văn phòng,CẦN KIỂM TRA,"H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.","OFF-01; Văn phòng; Cơ bản; Intel Core i3-13100; Intel UHD Graphics 730; Z690; LGA1700; LGA1700; Word, Excel cơ bản, duyệt web, thư điện tử, học trực tuyến, POS và phần mềm bán hàng nhẹ; Văn phòng / đa phương tiện; Cân bằng cho văn phòng; Tương thích, cần kiểm tra BIOS",https://hacom.vn/cpu-intel-core-i3-13100,https://www.intel.com/content/www/us/en/products/details/processors.html,https://www.asrock.com/mb/Intel/Z690M%20PG%20RiptideD5/index.asp
BUILD-05122,Cao cấp,B850,NVIDIA,MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,AMD,MSI,NVIDIA GeForce RTX 4080,AMD Ryzen 7 7700X,8199000,4992114,37399000,300000,"Nhu cầu cao cấp: Chơi game AAA ở 4K/2K, Dựng phim 4K mượt mà, Đồ họa kỹ thuật phức tạp (AutoCAD, Blender, Maya), Phát trực tiếp game. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Chưa xác định | Kiểm tra: Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.",Hiệu năng cao,B850 / AM5,50890114,"Chơi game – 4K mức cao. Phù hợp: Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa. Giới hạn: Không phải trò chơi nào cũng đạt 120 khung hình/giây ở độ phân giải gốc. Khuyến nghị RAM 32-64GB, lưu trữ 2TB NVMe và bộ nguồn 850-1000W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — 4K mức cao,1,AM5,AM5,Chưa xác định,Chưa xác định,Hiệu năng cao,Cao cấp,Chơi game / sáng tạo nội dung,16,GAME-07,Chơi game,4K mức cao,"Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa","4K, khoảng 60-120 khung hình/giây tùy trò chơi",32-64,2TB NVMe,850-1000,Không,Không cần,Tương thích,Tương đối cân bằng,CẦN KIỂM TRA,"Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.","GAME-07; Chơi game; 4K mức cao; AMD Ryzen 7 7700X; NVIDIA GeForce RTX 4080; B850; AM5; AM5; Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-amd-ryzen-7-7700x,https://hacom.vn/card-man-hinh-msi-rtx-4080-gaming-x-trio,
BUILD-06286,Cận cao cấp,B850,AMD,MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,AMD,MSI,AMD Radeon RX 7800 XT,AMD Ryzen 7 9800X3D,13899000,4992114,14399000,200000,"Nhu cầu cận cao cấp: Chiến game AAA cực mượt ở 2K, Làm đồ họa 2D/3D bán chuyên nghiệp, Biên tập video 2K/4K. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Chưa xác định | Kiểm tra: Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.",Hiệu năng cao,B850 / AM5,33490114,"Chơi game – AAA 1440p mức cao. Phù hợp: Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao. Giới hạn: Dò tia mức tối đa có thể cần công nghệ nâng độ phân giải hoặc tạo khung hình. Khuyến nghị RAM 32GB, lưu trữ 1-2TB NVMe và bộ nguồn 700-850W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1440p mức cao,1,AM5,AM5,Chưa xác định,Chưa xác định,Hiệu năng cao,Cận cao cấp,Chơi game / sáng tạo nội dung,16,GAME-05,Chơi game,AAA 1440p mức cao,"Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao","1440p, khoảng 80-165 khung hình/giây",32,1-2TB NVMe,700-850,Không,Không cần,Tương thích,Tương đối cân bằng,CẦN KIỂM TRA,"Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp. Chưa có giá CPU hoặc bo mạch chủ hiện tại được xác minh.","GAME-05; Chơi game; AAA 1440p mức cao; AMD Ryzen 7 9800X3D; AMD Radeon RX 7800 XT; B850; AM5; AM5; Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-amd-ryzen-7-9800x3d,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7800-xt.html,
BUILD-08317,Cận cao cấp,B650,AMD,Gigabyte B650M C AM5 DDR5 Micro ATX,AMD,GIGABYTE,AMD Radeon RX 7800 XT,AMD Ryzen 7 9800X3D,13899000,4100000,14399000,200000,"Nhu cầu đa dụng: Cân bằng tốt giữa các tác vụ làm việc hàng ngày và giải trí chơi game. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích, cần kiểm tra BIOS | Tình trạng hàng: Đang bán / tồn kho hạn chế | Kiểm tra: B650 có thể cần BIOS mới để hỗ trợ CPU Ryzen 9000. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Hiệu năng cao,B650 / AM5,32598000,"Chơi game – AAA 1440p mức cao. Phù hợp: Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao. Giới hạn: Dò tia mức tối đa có thể cần công nghệ nâng độ phân giải hoặc tạo khung hình. Khuyến nghị RAM 32GB, lưu trữ 1-2TB NVMe và bộ nguồn 700-850W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1440p mức cao,1,AM5,AM5,Thấp,Đang bán / tồn kho hạn chế,Hiệu năng cao,Cận cao cấp,Chơi game / sáng tạo nội dung,16,GAME-05,Chơi game,AAA 1440p mức cao,"Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao","1440p, khoảng 80-165 khung hình/giây",32,1-2TB NVMe,700-850,Không,Không cần,"Tương thích, cần kiểm tra BIOS",Tương đối cân bằng,CẦN KIỂM TRA,B650 có thể cần BIOS mới để hỗ trợ CPU Ryzen 9000. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.,"GAME-05; Chơi game; AAA 1440p mức cao; AMD Ryzen 7 9800X3D; AMD Radeon RX 7800 XT; B650; AM5; AM5; Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích, cần kiểm tra BIOS",https://hacom.vn/cpu-amd-ryzen-7-9800x3d,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7800-xt.html,https://www.gigabyte.com/Motherboard/B650M-C-rev-10
BUILD-00125,Cao cấp,Z690,NVIDIA,ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,Intel,ASRock,NVIDIA GeForce RTX 4080,Intel Core i7-13700K,9099000,4800000,37399000,300000,"Nhu cầu cao cấp: Chơi game AAA ở 4K/2K, Dựng phim 4K mượt mà, Đồ họa kỹ thuật phức tạp (AutoCAD, Blender, Maya), Phát trực tiếp game. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích, cần kiểm tra BIOS | Tình trạng hàng: Đời cũ / giá niêm yết gần nhất | Kiểm tra: H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Hiệu năng cao,Z690 / LGA1700,51598000,"Chơi game – 4K mức cao. Phù hợp: Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa. Giới hạn: Không phải trò chơi nào cũng đạt 120 khung hình/giây ở độ phân giải gốc. Khuyến nghị RAM 32-64GB, lưu trữ 2TB NVMe và bộ nguồn 850-1000W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — 4K mức cao,1,LGA1700,LGA1700,Thấp,Đời cũ / giá niêm yết gần nhất,Hiệu năng cao,Cao cấp,Chơi game / sáng tạo nội dung,16,GAME-07,Chơi game,4K mức cao,"Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa","4K, khoảng 60-120 khung hình/giây tùy trò chơi",32-64,2TB NVMe,850-1000,Không,Không cần,"Tương thích, cần kiểm tra BIOS",Tương đối cân bằng,CẦN KIỂM TRA,"H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.","GAME-07; Chơi game; 4K mức cao; Intel Core i7-13700K; NVIDIA GeForce RTX 4080; Z690; LGA1700; LGA1700; Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích, cần kiểm tra BIOS",https://hacom.vn/cpu-intel-core-i7-13700k-hang-nk,https://hacom.vn/card-man-hinh-msi-rtx-4080-gaming-x-trio,https://www.asrock.com/mb/Intel/Z690M%20PG%20RiptideD5/index.asp
BUILD-07019,Tầm trung cao,Z690,NVIDIA,ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,Intel,ASRock,NVIDIA GeForce RTX 3060 Ti,Intel Core i7-13700K,9099000,4800000,10999000,200000,"Nhu cầu máy trạm chuyên biệt: Lập trình, Chạy máy ảo, Xử lý dữ liệu nặng (khoa học dữ liệu), Kết xuất bằng CPU, Chơi game thể thao điện tử cơ bản. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích, cần kiểm tra BIOS | Tình trạng hàng: Đã ngừng kinh doanh | Kiểm tra: H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Hiệu năng cao,Z690 / LGA1700,25098000,"Chơi game – AAA 1080p mức cao. Phù hợp: Trò chơi AAA ở 1080p mức cao, dò tia mức vừa và bản sửa đổi nhẹ. Giới hạn: Không bảo đảm chạy mức tối đa hoặc dò tia nặng trong mọi trò chơi. Khuyến nghị RAM 32GB, lưu trữ 1TB NVMe và bộ nguồn 600-700W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1080p mức cao,1,LGA1700,LGA1700,Thấp,Đã ngừng kinh doanh,Hiệu năng cao,Tầm trung cao,Chơi game / sáng tạo nội dung,8,GAME-04,Chơi game,AAA 1080p mức cao,"Trò chơi AAA ở 1080p mức cao, dò tia mức vừa và bản sửa đổi nhẹ","1080p, khoảng 60-144 khung hình/giây",32,1TB NVMe,600-700,Không,Không cần,"Tương thích, cần kiểm tra BIOS",Tương đối cân bằng,CẦN KIỂM TRA,"H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.","GAME-04; Chơi game; AAA 1080p mức cao; Intel Core i7-13700K; NVIDIA GeForce RTX 3060 Ti; Z690; LGA1700; LGA1700; Trò chơi AAA ở 1080p mức cao, dò tia mức vừa và bản sửa đổi nhẹ; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích, cần kiểm tra BIOS",https://hacom.vn/cpu-intel-core-i7-13700k-hang-nk,https://hacom.vn/card-man-hinh-asus-tuf-rtx-3060-ti-8g-v2-gaming,https://www.asrock.com/mb/Intel/Z690M%20PG%20RiptideD5/index.asp
BUILD-00082,Cao cấp,Z690,AMD,ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,Intel,ASRock,AMD Radeon RX 7900 XTX,Intel Core i3-13100,3099000,4800000,25999000,300000,"Nhu cầu đặc thù: Dồn toàn bộ ngân sách cho GPU để tối ưu Kết xuất 3D hoặc cày game nặng với ngân sách CPU eo hẹp. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích, cần kiểm tra BIOS | Tình trạng hàng: Đời cũ / giá niêm yết gần nhất | Kiểm tra: H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Phổ thông / văn phòng,Z690 / LGA1700,34198000,"Chơi game – 4K mức cao. Phù hợp: Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa. Giới hạn: Không phải trò chơi nào cũng đạt 120 khung hình/giây ở độ phân giải gốc. Khuyến nghị RAM 32-64GB, lưu trữ 2TB NVMe và bộ nguồn 850-1000W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — 4K mức cao,1,LGA1700,LGA1700,Thấp,Đời cũ / giá niêm yết gần nhất,Phổ thông / văn phòng,Cao cấp,Chơi game / sáng tạo nội dung,24,GAME-07,Chơi game,4K mức cao,"Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa","4K, khoảng 60-120 khung hình/giây tùy trò chơi",32-64,2TB NVMe,850-1000,Không,Không cần,"Tương thích, cần kiểm tra BIOS",Tương đối cân bằng,CẦN KIỂM TRA,"H610 hoặc Z690 có thể cần phiên bản BIOS hỗ trợ CPU Intel thế hệ 13 hoặc 14 đã chọn. Cần xác minh khả năng hỗ trợ BIOS trước khi lắp ráp. Một hoặc nhiều linh kiện thuộc đời cũ, đã ngừng kinh doanh hoặc cần xác minh tình trạng hàng. Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.","GAME-07; Chơi game; 4K mức cao; Intel Core i3-13100; AMD Radeon RX 7900 XTX; Z690; LGA1700; LGA1700; Trò chơi AAA ở 4K mức cao, họa tiết lớn và dò tia mức vừa; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích, cần kiểm tra BIOS",https://hacom.vn/cpu-intel-core-i3-13100,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7900-xtx.html,https://www.asrock.com/mb/Intel/Z690M%20PG%20RiptideD5/index.asp
BUILD-07462,Cận cao cấp,B850,AMD,ASRock B850 Pro RS WiFi AM5 DDR5 ATX,AMD,ASRock,AMD Radeon RX 7800 XT,AMD Ryzen 5 7600X,5699000,5500000,14399000,200000,"Nhu cầu cận cao cấp: Chiến game AAA cực mượt ở 2K, Làm đồ họa 2D/3D bán chuyên nghiệp, Biên tập video 2K/4K. | Cân bằng: Tương đối cân bằng | Tương thích: Tương thích | Tình trạng hàng: Đang bán / tồn kho hạn chế | Kiểm tra: Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.",Hiệu năng tầm trung,B850 / AM5,25798000,"Chơi game – AAA 1440p mức cao. Phù hợp: Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao. Giới hạn: Dò tia mức tối đa có thể cần công nghệ nâng độ phân giải hoặc tạo khung hình. Khuyến nghị RAM 32GB, lưu trữ 1-2TB NVMe và bộ nguồn 700-850W. Đánh giá cân bằng: Tương đối cân bằng.",Chơi game — AAA 1440p mức cao,1,AM5,AM5,Thấp,Đang bán / tồn kho hạn chế,Hiệu năng tầm trung,Cận cao cấp,Chơi game / sáng tạo nội dung,16,GAME-05,Chơi game,AAA 1440p mức cao,"Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao","1440p, khoảng 80-165 khung hình/giây",32,1-2TB NVMe,700-850,Không,Không cần,Tương thích,Tương đối cân bằng,CẦN KIỂM TRA,Ít nhất một mức giá là giá ước tính hoặc có độ tin cậy thấp.,"GAME-05; Chơi game; AAA 1440p mức cao; AMD Ryzen 5 7600X; AMD Radeon RX 7800 XT; B850; AM5; AM5; Trò chơi AAA ở 1440p mức cao, thể thao điện tử tần số quét cao và họa tiết chất lượng cao; Chơi game / sáng tạo nội dung; Tương đối cân bằng; Tương thích",https://hacom.vn/cpu-amd-ryzen-5-7600x-4.7-ghz-upto-5.3ghz-38mb-6-cores-12-threads-105w-socket-am5,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7800-xt.html,https://www.asrock.com/mb/AMD/B850%20Pro%20RS%20WiFi/index.asp
